,name,year,fuel_type,automaker,miles_driven,price
0,Hyundai Santro Xing,2007,Petrol,Hyundai,27962,952
1,Mahindra Jeep CL550,2006,Diesel,Mahindra,25,5059
2,Maruti Suzuki Alto,2018,Petrol,Maruti,13670,0
3,Hyundai Grand i10,2014,Petrol,Hyundai,17398,3869
4,Ford EcoSport Titanium,2014,Diesel,Ford,22369,6845
5,Ford EcoSport Titanium,2015,Diesel,Ford,36661,0
6,Ford Figo,2012,Diesel,Ford,25476,2083
7,Hyundai Eon,2013,Petrol,Hyundai,15534,2261
8,Ford EcoSport Ambiente,2016,Diesel,Ford,15242,9880
9,Maruti Suzuki Alto,2015,Petrol,Maruti,37282,2976
10,Skoda Fabia Classic,2010,Petrol,Skoda,37282,2166
11,Maruti Suzuki Stingray,2015,Petrol,Maruti,18641,3750
12,Hyundai Elite i20,2014,Petrol,Hyundai,19884,4940
13,Mahindra Scorpio SLE,2015,Diesel,Mahindra,30236,3809
14,Hyundai Santro Xing,2007,Petrol,Hyundai,27962,952
15,Mahindra Jeep CL550,2006,Diesel,Mahindra,25,5059
16,Audi A8,2017,Petrol,Audi,2485,11904
17,Audi Q7,2014,Diesel,Audi,10522,5952
18,Mahindra Scorpio S10,2016,Diesel,Mahindra,26719,4166
19,Maruti Suzuki Alto,2014,Petrol,Maruti,22090,1904
20,Mahindra Scorpio S10,2016,Diesel,Mahindra,26719,4166
21,Mahindra Scorpio S10,2016,Diesel,Mahindra,24558,3690
22,Maruti Suzuki Alto,2015,Petrol,Maruti,24233,892
23,Hyundai i20 Sportz,2012,Petrol,Hyundai,34175,1190
24,Hyundai i20 Sportz,2012,Petrol,Hyundai,34175,1190
25,Hyundai i20 Sportz,2012,Petrol,Hyundai,34175,1190
26,Maruti Suzuki Alto,2017,Petrol,Maruti,44739,2261
27,Maruti Suzuki Vitara,2016,Diesel,Maruti,9926,3452
28,Maruti Suzuki Alto,2008,Petrol,Maruti,43496,1130
29,Mahindra Bolero DI,2017,Diesel,Mahindra,14572,2142
30,Maruti Suzuki Swift,2014,Diesel,Maruti,22072,4583
31,Mahindra Scorpio S10,2015,Diesel,Mahindra,30141,2976
32,Maruti Suzuki Swift,2017,Petrol,Maruti,9623,2142
33,Maruti Suzuki Wagon,2013,Petrol,Maruti,24233,1250
34,Maruti Suzuki Wagon,2013,Petrol,Maruti,24233,1250
35,Toyota Innova 2.0,2012,Diesel,Toyota,50952,7738
36,Renault Lodgy 85,2018,Diesel,Renault,12427,8214
37,Skoda Yeti Ambition,2012,Diesel,Skoda,42253,5333
38,Maruti Suzuki Baleno,2017,Diesel,Maruti,19884,6535
39,Renault Duster 110,2012,Diesel,Renault,23612,5964
40,Renault Duster 85,2013,Diesel,Renault,16777,5833
41,Honda City 1.5,2011,Petrol,Honda,20505,3333
42,Maruti Suzuki Alto,2015,Petrol,Maruti,37282,2976
43,Maruti Suzuki Dzire,2013,Diesel,Maruti,28583,4166
44,Honda Amaze,2013,Diesel,Honda,28583,3392
45,Honda Amaze 1.5,2015,Diesel,Honda,22369,4107
